,,,,MSE,MAE
100,50,15,4,0.200985,0.795788
50,50,10,4,0.20099,0.795783
300,40,15,2,0.200999,0.795774
200,20,15,4,0.201169,0.795601
100,40,15,4,0.201175,0.795595
200,None,15,2,0.201198,0.795571
300,None,15,1,0.201216,0.795554
50,40,5,1,0.201294,0.795474
50,None,10,1,0.201303,0.795464
300,None,15,2,0.201351,0.795416
200,50,15,4,0.201363,0.795403
200,30,15,2,0.201371,0.795396
50,20,10,2,0.201426,0.795339
200,30,15,4,0.20144,0.795325
300,40,15,4,0.201443,0.795322
100,20,2,4,0.201446,0.795319
100,30,10,4,0.201452,0.795313
200,20,15,1,0.201457,0.795309
300,30,15,4,0.201532,0.795233
50,20,15,2,0.201553,0.795211
100,None,5,4,0.201588,0.795175
50,None,10,2,0.201592,0.795171
200,None,15,1,0.201594,0.795169
50,40,10,2,0.201611,0.795152
100,None,15,2,0.201641,0.795121
200,30,15,1,0.201654,0.795108
300,50,15,2,0.20168,0.795082
200,20,15,2,0.201727,0.795034
100,50,15,1,0.20174,0.795021
200,None,15,4,0.201743,0.795018
300,None,15,4,0.201813,0.794947
50,50,10,1,0.201854,0.794905
200,40,15,1,0.201973,0.794784
300,20,15,1,0.202066,0.79469
200,50,15,1,0.202161,0.794593
50,40,10,1,0.202252,0.7945
300,50,15,4,0.202359,0.794392
100,30,15,4,0.202363,0.794388
100,20,15,1,0.202458,0.794291
100,20,15,4,0.202535,0.794213
200,50,15,2,0.202577,0.794171
100,None,15,4,0.202642,0.794104
50,40,10,4,0.202681,0.794064
100,50,15,2,0.202712,0.794033
50,30,15,2,0.202741,0.794003
100,20,15,2,0.202761,0.793983
300,20,15,4,0.202933,0.793808
100,30,15,2,0.202948,0.793793
300,40,15,1,0.203348,0.793387
50,40,15,1,0.203417,0.793316
100,40,20,2,0.203417,0.793316
50,40,15,2,0.203456,0.793278
200,20,20,2,0.203561,0.793171
100,50,20,2,0.203593,0.793138
50,30,15,1,0.203796,0.792931
100,30,15,1,0.203806,0.792921
300,50,20,1,0.203826,0.792901
200,30,20,1,0.203832,0.792895
200,30,20,2,0.203889,0.792837
200,None,20,2,0.203902,0.792824
50,None,15,2,0.20394,0.792785
50,50,20,2,0.20397,0.792755
100,20,20,2,0.204033,0.792691
300,20,20,2,0.204039,0.792685
50,20,15,1,0.204102,0.792621
50,40,20,4,0.204105,0.792617
300,40,20,2,0.204168,0.792554
200,20,20,4,0.204229,0.792492
200,30,20,4,0.204358,0.792361
200,None,20,1,0.204402,0.792316
100,None,20,4,0.20442,0.792297
10,None,2,2,0.204426,0.792292
300,50,20,2,0.204571,0.792144
200,50,20,2,0.204685,0.792028
100,40,20,4,0.204686,0.792027
100,40,15,1,0.204702,0.792011
50,40,20,2,0.204812,0.791899
200,None,20,4,0.20482,0.791891
50,50,15,2,0.204833,0.791878
300,50,20,4,0.204836,0.791875
200,50,20,4,0.204872,0.791838
50,40,15,4,0.204898,0.791812
100,30,20,1,0.204919,0.791791
200,50,20,1,0.204919,0.791791
100,40,20,1,0.204937,0.791772
300,20,20,4,0.205078,0.791629
300,30,20,1,0.205088,0.791618
300,30,20,2,0.20514,0.791566
100,50,20,1,0.205154,0.791551
50,50,15,1,0.205285,0.791419
50,None,15,1,0.205292,0.791411
50,20,15,4,0.205306,0.791397
50,30,20,4,0.205347,0.791355
50,None,15,4,0.205396,0.791306
100,None,20,2,0.205406,0.791295
300,30,20,4,0.205415,0.791287
300,None,20,4,0.205424,0.791278
200,40,20,2,0.205485,0.791215
200,20,20,1,0.205527,0.791173
300,20,20,1,0.2056,0.791099
50,40,20,1,0.205616,0.791082
300,40,20,4,0.205638,0.791061
200,40,20,4,0.20566,0.791038
300,None,20,2,0.205663,0.791035
100,20,20,4,0.205758,0.790938
10,30,5,2,0.205765,0.790931
50,20,20,2,0.205777,0.790919
200,40,20,1,0.205853,0.790841
50,30,5,8,0.205881,0.790813
300,None,20,1,0.205885,0.790809
10,40,10,4,0.205945,0.790748
300,40,20,1,0.206026,0.790665
100,None,20,1,0.206048,0.790643
300,50,5,8,0.206092,0.790599
50,30,20,1,0.206189,0.7905
100,20,20,1,0.206195,0.790494
10,30,2,4,0.206364,0.790323
50,50,20,1,0.206462,0.790223
50,50,20,4,0.206472,0.790212
100,30,20,2,0.206568,0.790115
50,None,20,4,0.206654,0.790027
200,20,5,8,0.20687,0.789809
300,40,10,8,0.206979,0.789697
50,30,15,4,0.20699,0.789686
200,None,5,8,0.206999,0.789678
300,40,2,8,0.207031,0.789645
300,None,5,8,0.207056,0.78962
50,30,2,8,0.20706,0.789616
300,30,10,8,0.207115,0.789559
100,30,10,8,0.207151,0.789523
50,None,5,8,0.207152,0.789522
200,40,15,8,0.207194,0.789479
300,30,2,8,0.20724,0.789432
200,None,10,8,0.207245,0.789427
300,None,2,8,0.207325,0.789346
200,20,2,8,0.207343,0.789328
100,30,20,4,0.207465,0.789203
50,None,20,1,0.207473,0.789196
100,30,2,8,0.207496,0.789172
50,None,20,2,0.207514,0.789154
100,None,2,8,0.207551,0.789116
300,None,15,8,0.207555,0.789112
200,40,10,8,0.2076,0.789067
200,20,15,8,0.207616,0.789051
200,None,2,8,0.207635,0.789031
200,30,2,8,0.207703,0.788962
100,30,5,8,0.20771,0.788955
200,50,10,8,0.207792,0.788871
200,50,15,8,0.207826,0.788837
100,50,15,8,0.20789,0.788772
100,50,20,4,0.207896,0.788766
10,50,15,4,0.20792,0.788742
200,None,15,8,0.207951,0.78871
100,50,2,8,0.207952,0.788709
200,50,2,8,0.207964,0.788697
10,None,10,1,0.207969,0.788691
300,20,5,8,0.20801,0.78865
300,50,2,8,0.208026,0.788634
300,50,10,8,0.208035,0.788625
200,30,5,8,0.208037,0.788622
300,30,5,8,0.208049,0.788611
100,50,20,8,0.208053,0.788606
50,20,20,8,0.208057,0.788602
10,50,10,1,0.208082,0.788577
200,40,2,8,0.208096,0.788563
300,30,15,8,0.208178,0.788479
50,50,2,8,0.208179,0.788478
200,30,15,8,0.208244,0.788413
300,None,10,8,0.208247,0.788409
300,40,5,8,0.208252,0.788404
50,None,10,8,0.208281,0.788375
100,50,5,8,0.208302,0.788354
300,50,15,8,0.208414,0.78824
100,50,10,8,0.208529,0.788123
300,20,2,8,0.20856,0.788092
50,30,20,2,0.208616,0.788034
100,20,5,8,0.208693,0.787956
50,50,5,8,0.208803,0.787844
50,20,20,1,0.208822,0.787825
100,20,15,8,0.20887,0.787776
200,50,5,8,0.208892,0.787754
50,20,20,4,0.208896,0.787749
200,40,5,8,0.208897,0.787749
